tank,diet,tissue,Arsenic,Cadmium,Lead,Mercury,Iron
E01,Ulva,viscera,1.1,0.66,0.05,0.02,110
E01,Ulva,foot,0.79,0.08,0.02,0.02,13
E02,Ulva,viscera,1.2,0.67,<0.01,0.05,150
E02,Ulva,foot,0.94,0.08,0.01,0.02,14
E03,Ulva,viscera,0.93,0.66,<0.01,0.04,150
E03,Ulva,foot,0.74,0.05,0.02,0.02,10
E04,Ulva,viscera,0.84,0.68,<0.01,0.03,130
E04,Ulva,foot,0.79,0.06,0.01,0.02,10
E05,Wakame,viscera,1.4,0.84,0.12,0.04,150
E05,Wakame,foot,1.1,0.08,0.01,0.02,14
E06,Wakame,viscera,1.4,0.92,<0.01,0.04,130
E06,Wakame,foot,1.2,0.07,0.01,0.02,10
E07,Wakame,viscera,1.2,0.73,<0.01,0.03,120
E07,Wakame,foot,1,0.07,<0.01,0.03,10
E08,Wakame,viscera,1.6,1,0.05,0.02,140
E08,Wakame,foot,1.2,0.08,0.02,0.02,9
E13,Control,viscera,0.73,0.47,<0.01,0.03,95
E13,Control,foot,0.75,0.04,<0.01,0.03,9.4
E14,Control,viscera,0.93,0.48,0.02,0.03,100
E14,Control,foot,0.98,0.05,0.01,0.03,9.6
E15,Control,viscera,0.79,0.43,0.04,0.02,110
E15,Control,foot,0.76,0.04,<0.01,0.03,8.8
E16,Control,viscera,0.76,0.5,<0.01,0.04,98
E16,Control,foot,0.91,0.04,0.01,0.03,10
