column,data_type,units,description
tank,text,NA,"Unique tank identifier between E01 and E16 (E01, E02…)"
diet,categorical,NA,"The diet provided to abalone within experimental tank. Diets included a commercial control, and experimental diets containing either 20% Ulva or 20% wakame"
diet_cost,categorical,$AUD/kg,Price of experimental diets
latitude,float / double,degrees,Decimal degrees WGS84 (-90 to +90)
longitude,float / double,degrees,Decimal degrees WGS84 (-180 to +180)
start_density,continious,kilograms per meter squared (kg/m2),"Starting stocking density of each tank, calculated as the total kilograms per each square meter of tank space"
end_density,continious,kilograms per meter squared (kg/m2),"End stocking density of each tank, calculated as the total kilograms per each square meter of tank space"
start_biomass,continious,"kilograms, kg",Starting total biomass for each tank
end_biomass,continious,"kilograms, kg",End biomass for each tank
start_count,continious,"count, #",Beginning number of abalone within parent tank
end_count,continious,"count, #",End number of abalone within parent tank
start_ABW,continious,"grams, g",Mean average abalone weight at the beginning of the trial. Aggregated by tank
start_ABL,continious,"milometers, mm",Mean average abalone length at the beginning of the trial. Aggregated by tank
mortality,continious,"percentage, %",Mortality across the experimental period expressed as a percentage of start count
per_capita_feed,continious,mg animal-1,"Cumulative feed consumed per animal over the trial, in milligrams. Calculated for each tank by dividing the daily feed ration (kg) by the number of live abalone in the tank that day, then summing values across all 131 days of the trial. Calculations in per_feed_capita.xlsx"
length_mm,continious,"milometers, mm",Length of detected abalone. Measurements are derived from geometry from geospatial coordinates of detected polygons (abalone)
width_mm,continious,"milometers, mm",Width of detected abalone. Measurements are derived from geometry from geospatial coordinates of detected polygons (abalone)
area_mm2,continious,"milometers, mm",Abalone area in mm2 calculated using area = number of pixels in the detected object x (global sampling distance)2
weight_g,continious,"grams, g",Abalone weight. Derived from length using a pre-established weight-length relationship W =0.000102572*L^3.05321
condition,continious,au,"Condition factor of abalone calculated using Condition factor = 5575 × (weight [g] / length [mm]^2.99) (Britz and Hecht, 1997)"
