date,feed_per_tank_kg,E01_count,E02_count,E03_count,E04_count,E05_count,E06_count,E07_count,E08_count,E13_count,E14_count,E15_count,E16_count,E01_per_cap_feed,E02_per_cap_feed,E03_per_cap_feed,E04_per_cap_feed,E05_per_cap_feed,E06_per_cap_feed,E07_per_cap_feed,E08_per_cap_feed,E13_per_cap_feed,E14_per_cap_feed,E15_per_cap_feed,E16_per_cap_feed
10/11/2025,2,10880.00,11838.00,10882.00,10057.00,10217.00,9939.00,11249.00,11360.00,14703.00,11077.00,12928.00,13149.00,183.82,168.95,183.79,198.87,195.75,201.23,177.79,176.06,136.03,180.55,154.70,152.10
11/11/2025,2,10873.30,11834.30,10876.30,10052.30,10212.70,9934.30,11242.70,11353.00,14693.70,11071.30,12919.70,13145.30,183.94,169.00,183.89,198.96,195.83,201.32,177.89,176.16,136.11,180.65,154.80,152.15
12/11/2025,2,10866.70,11830.70,10870.70,10047.70,10208.30,9929.70,11236.30,11346.00,14684.30,11065.70,12911.30,13141.70,184.05,169.05,183.98,199.05,195.92,201.42,177.99,176.27,136.20,180.74,154.90,152.19
13/11/2025,2,10860.00,11827.00,10865.00,10043.00,10204.00,9925.00,11230.00,11339.00,14675.00,11060.00,12903.00,13138.00,184.16,169.10,184.08,199.14,196.00,201.51,178.09,176.38,136.29,180.83,155.00,152.23
14/11/2025,2,10853.20,11821.80,10860.50,10038.30,10201.80,9922.80,11226.50,11337.80,14671.50,11057.00,12897.50,13133.80,184.28,169.18,184.15,199.24,196.04,201.56,178.15,176.40,136.32,180.88,155.07,152.28
15/11/2025,2,10846.50,11816.50,10856.00,10033.50,10199.50,9920.50,11223.00,11336.50,14668.00,11054.00,12892.00,13129.50,184.39,169.25,184.23,199.33,196.09,201.60,178.21,176.42,136.35,180.93,155.13,152.33
16/11/2025,,10839.80,11811.30,10851.50,10028.80,10197.30,9918.30,11219.50,11335.30,14664.50,11051.00,12886.50,13125.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17/11/2025,2,10833.00,11806.00,10847.00,10024.00,10195.00,9916.00,11216.00,11334.00,14661.00,11048.00,12881.00,13121.00,184.62,169.41,184.38,199.52,196.17,201.69,178.32,176.46,136.42,181.03,155.27,152.43
18/11/2025,2,10829.00,11801.30,10843.70,10022.00,10188.30,9913.30,11211.00,11329.00,14654.00,11043.30,12876.30,13118.00,184.69,169.47,184.44,199.56,196.30,201.75,178.40,176.54,136.48,181.11,155.32,152.46
19/11/2025,2,10825.00,11796.70,10840.30,10020.00,10181.70,9910.70,11206.00,11324.00,14647.00,11038.70,12871.70,13115.00,184.76,169.54,184.50,199.60,196.43,201.80,178.48,176.62,136.55,181.18,155.38,152.50
20/11/2025,2,10821.00,11792.00,10837.00,10018.00,10175.00,9908.00,11201.00,11319.00,14640.00,11034.00,12867.00,13112.00,184.83,169.61,184.55,199.64,196.56,201.86,178.56,176.69,136.61,181.26,155.44,152.53
21/11/2025,2,10818.20,11789.30,10834.00,10015.00,10171.30,9904.50,11198.20,11316.30,14633.50,11030.70,12862.70,13109.30,184.87,169.65,184.60,199.70,196.63,201.93,178.60,176.74,136.67,181.31,155.49,152.56
22/11/2025,2,10815.50,11786.50,10831.00,10012.00,10167.50,9901.00,11195.50,11313.50,14627.00,11027.50,12858.50,13106.50,184.92,169.69,184.66,199.76,196.71,202.00,178.64,176.78,136.73,181.36,155.54,152.60
23/11/2025,,10812.80,11783.80,10828.00,10009.00,10163.80,9897.50,11192.70,11310.80,14620.50,11024.20,12854.20,13103.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24/11/2025,2,10810.00,11781.00,10825.00,10006.00,10160.00,9894.00,11190.00,11308.00,14614.00,11021.00,12850.00,13101.00,185.01,169.76,184.76,199.88,196.85,202.14,178.73,176.87,136.86,181.47,155.64,152.66
25/11/2025,2,10807.80,11779.00,10822.30,10003.30,10156.50,9892.80,11188.50,11304.30,14609.80,11018.20,12847.00,13099.30,185.05,169.79,184.80,199.93,196.92,202.17,178.75,176.92,136.89,181.52,155.68,152.68
26/11/2025,2,10805.50,11777.00,10819.50,10000.50,10153.00,9891.50,11187.00,11300.50,14605.50,11015.50,12844.00,13097.50,185.09,169.82,184.85,199.99,196.99,202.19,178.78,176.98,136.93,181.56,155.71,152.70
27/11/2025,2,10803.20,11775.00,10816.80,9997.80,10149.50,9890.30,11185.50,11296.80,14601.30,11012.70,12841.00,13095.80,185.13,169.85,184.90,200.04,197.05,202.22,178.80,177.04,136.97,181.61,155.75,152.72
28/11/2025,2,10801.00,11773.00,10814.00,9995.00,10146.00,9889.00,11184.00,11293.00,14597.00,11010.00,12838.00,13094.00,185.17,169.88,184.95,200.10,197.12,202.24,178.83,177.10,137.01,181.65,155.79,152.74
29/11/2025,2,10794.00,11769.70,10811.00,9991.70,10140.00,9887.00,11180.70,11290.30,14592.70,11006.70,12835.00,13090.30,185.29,169.93,185.00,200.17,197.24,202.29,178.88,177.14,137.05,181.71,155.82,152.78
30/11/2025,,10787.00,11766.30,10808.00,9988.30,10134.00,9885.00,11177.30,11287.70,14588.30,11003.30,12832.00,13086.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1/12/2025,2,10780.00,11763.00,10805.00,9985.00,10128.00,9883.00,11174.00,11285.00,14584.00,11000.00,12829.00,13083.00,185.53,170.02,185.10,200.30,197.47,202.37,178.99,177.23,137.14,181.82,155.90,152.87
2/12/2025,2,10776.70,11761.00,10804.30,9983.30,10126.00,9879.70,11170.00,11282.30,14580.30,10996.70,12823.70,13078.70,185.59,170.05,185.11,200.33,197.51,202.44,179.05,177.27,137.17,181.87,155.96,152.92
3/12/2025,2,10773.30,11759.00,10803.70,9981.70,10124.00,9876.30,11166.00,11279.70,14576.70,10993.30,12818.30,13074.30,185.64,170.08,185.12,200.37,197.55,202.50,179.12,177.31,137.21,181.93,156.03,152.97
4/12/2025,2,10770.00,11757.00,10803.00,9980.00,10122.00,9873.00,11162.00,11277.00,14573.00,10990.00,12813.00,13070.00,185.70,170.11,185.13,200.40,197.59,202.57,179.18,177.35,137.24,181.98,156.09,153.02
