column,data_type,units,description
date,text,DD/MM/YYYY,"Calendar date of each daily feed and tank-count record, covering the 131-day trial period (10/11/2025 to 20/03/2026)"
feed_per_tank_kg,continious,"kilograms, kg","Daily feed ration delivered per tank, applied uniformly across all monitored tanks on that date"
E01_count,continious,"count, #","Estimated number of live abalone in tank E01 (Ulva diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E01_per_cap_feed"
E02_count,continious,"count, #","Estimated number of live abalone in tank E02 (Ulva diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E02_per_cap_feed"
E03_count,continious,"count, #","Estimated number of live abalone in tank E03 (Ulva diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E03_per_cap_feed"
E04_count,continious,"count, #","Estimated number of live abalone in tank E04 (Ulva diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E04_per_cap_feed"
E05_count,continious,"count, #","Estimated number of live abalone in tank E05 (wakame diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E05_per_cap_feed"
E06_count,continious,"count, #","Estimated number of live abalone in tank E06 (wakame diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E06_per_cap_feed"
E07_count,continious,"count, #","Estimated number of live abalone in tank E07 (wakame diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E07_per_cap_feed"
E08_count,continious,"count, #","Estimated number of live abalone in tank E08 (wakame diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E08_per_cap_feed"
E13_count,continious,"count, #","Estimated number of live abalone in tank E13 (commercial control diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E13_per_cap_feed"
E14_count,continious,"count, #","Estimated number of live abalone in tank E14 (commercial control diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E14_per_cap_feed"
E15_count,continious,"count, #","Estimated number of live abalone in tank E15 (commercial control diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E15_per_cap_feed"
E16_count,continious,"count, #","Estimated number of live abalone in tank E16 (commercial control diet) on the given date, interpolated between recorded mortality checks. Used as the daily divisor for E16_per_cap_feed"
E01_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E01 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E01_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E02_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E02 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E02_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E03_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E03 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E03_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E04_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E04 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E04_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E05_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E05 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E05_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E06_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E06 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E06_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E07_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E07 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E07_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E08_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E08 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E08_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E13_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E13 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E13_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E14_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E14 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E14_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E15_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E15 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E15_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
E16_per_cap_feed,continious,mg animal-1 day-1,"Feed delivered per live animal in tank E16 on the given date, calculated as (feed_per_tank_kg x 1,000,000) / E16_count. Summed across all 131 days to give the cumulative per_capita_feed value reported in individual_abalone_data.csv"
