tank,diet,latitude,longitude,start_density,start_biomass,start_count,start_ABW,start_ABL,mortality_p,length_mm,width_mm,area_mm2,weight_g,condition
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,64.09,53.93,265.69,33.70,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.75,53.25,261.35,31.59,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,58.79,48.59,224.36,25.88,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,82.95,62.76,401.36,74.07,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.28,55.63,278.09,30.87,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,60.62,52.52,250.75,28.42,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,71.35,57.86,331.83,46.76,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,55.51,48.42,207.47,21.72,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.02,52.31,257.89,29.01,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,87.60,50.01,342.54,87.47,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,52.45,42.76,171.51,18.27,0.73
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,87.67,56.12,395.60,87.70,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.70,62.01,323.22,38.05,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.25,61.26,367.57,57.26,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,75.29,68.74,407.20,55.09,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.78,64.85,369.12,51.78,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.92,64.91,395.85,58.82,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.99,54.88,275.92,30.44,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.26,54.93,294.94,42.71,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.58,53.40,259.79,29.83,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.37,55.97,275.71,31.01,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,63.10,49.26,238.50,32.13,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.56,65.65,384.06,53.47,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.19,61.97,317.11,35.49,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.35,54.93,283.89,37.46,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.94,61.12,369.59,52.13,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,72.46,58.33,333.32,49.01,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,64.64,59.66,300.72,34.59,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.26,62.67,342.97,42.71,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.94,61.94,326.89,38.47,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,70.01,65.86,363.08,44.12,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,57.19,45.95,214.36,23.80,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.69,59.82,314.59,36.34,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.07,62.18,359.45,52.41,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.28,57.04,293.50,30.87,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,64.08,47.73,239.79,33.68,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,70.43,64.08,359.84,44.93,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,60.12,59.58,278.93,27.72,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,57.62,56.33,261.06,24.35,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,77.41,63.38,393.08,59.97,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,84.40,58.45,390.85,78.07,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,65.65,55.08,283.19,36.26,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.92,57.74,334.67,52.09,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,71.98,58.13,325.90,48.02,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,81.06,59.59,374.43,69.03,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,78.94,62.47,379.78,63.67,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,71.59,62.67,356.93,47.24,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,62.86,55.63,280.31,31.76,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,61.30,55.15,258.87,29.41,0.74
