"feed_opex_share","confidence_level","80g","90g","100g","110g","120g","130g"
"feed_10%",0.5,16.23,15.31,14.52,13.85,13.26,12.75
"feed_15%",0.5,11.34,10.76,10.27,9.84,9.47,9.15
"feed_20%",0.5,8.9,8.49,8.14,7.84,7.58,7.35
"feed_25%",0.5,7.43,7.12,6.86,6.64,6.44,6.27
"feed_30%",0.5,6.46,6.22,6.01,5.84,5.69,5.55
"feed_10%",0.95,8.66,8.21,7.84,7.52,7.23,6.99
"feed_15%",0.95,6.31,6.03,5.8,5.59,5.42,5.26
"feed_20%",0.95,5.14,4.94,4.78,4.63,4.51,4.4
"feed_25%",0.95,4.44,4.29,4.16,4.06,3.96,3.88
"feed_30%",0.95,3.97,3.85,3.75,3.67,3.6,3.53
"feed_10%",0.99,3.23,3.13,3.05,2.97,2.91,2.86
"feed_15%",0.99,2.71,2.64,2.59,2.54,2.51,2.47
"feed_20%",0.99,2.44,2.4,2.36,2.33,2.3,2.28
"feed_25%",0.99,2.29,2.25,2.23,2.2,2.18,2.16
"feed_30%",0.99,2.18,2.16,2.13,2.12,2.1,2.09
