"target_g","days_saved_median","total_cost_ctrl","be_meal_median","be_meal_lo95","be_meal_hi95","net_saving_median","p_saving_gt0","model"
80,41.9,2.2136,14.14,5.24,22.64,0.168,0.92,"unadjusted"
90,45.4,2.4337,13.43,5.04,21.44,0.1724,0.909,"unadjusted"
100,48.6,2.638,12.83,4.86,20.43,0.1742,0.897,"unadjusted"
110,51.4,2.8293,12.31,4.72,19.57,0.1739,0.884,"unadjusted"
120,54,3.0101,11.86,4.59,18.81,0.172,0.867,"unadjusted"
130,56.4,3.1819,11.47,4.48,18.15,0.1686,0.85,"unadjusted"
80,26,2.2136,8.9,4.2,13.96,0.0207,0.629,"adjusted"
90,28.2,2.4337,8.49,4.06,13.26,0.0095,0.555,"adjusted"
100,30.2,2.638,8.14,3.94,12.67,-0.0032,0.484,"adjusted"
110,32,2.8293,7.84,3.83,12.16,-0.0173,0.414,"adjusted"
120,33.6,3.0101,7.58,3.74,11.72,-0.0324,0.349,"adjusted"
130,35.1,3.1819,7.35,3.66,11.33,-0.0484,0.301,"adjusted"
