"meal_price","diet_premium","ulva_diet_cost"
0,-0.334000000000001,2.136
0.5,-0.234000000000001,2.236
1,-0.134000000000001,2.336
1.5,-0.0340000000000005,2.436
2,0.0659999999999995,2.536
2.5,0.165999999999999,2.636
3,0.266,2.736
3.5,0.365999999999999,2.836
4,0.466,2.936
4.5,0.566,3.036
5,0.665999999999999,3.136
5.5,0.766,3.236
6,0.866,3.336
6.5,0.966,3.436
7,1.066,3.536
7.5,1.166,3.636
8,1.266,3.736
8.5,1.366,3.836
9,1.466,3.936
9.5,1.566,4.036
10,1.666,4.136
10.5,1.766,4.236
11,1.866,4.336
11.5,1.966,4.436
12,2.066,4.536
12.5,2.166,4.636
13,2.266,4.736
13.5,2.366,4.836
14,2.466,4.936
14.5,2.566,5.036
15,2.666,5.136
15.5,2.766,5.236
16,2.866,5.336
16.5,2.966,5.436
17,3.066,5.536
17.5,3.166,5.636
18,3.266,5.736
18.5,3.366,5.836
19,3.466,5.936
19.5,3.566,6.036
20,3.666,6.136
20.5,3.766,6.236
21,3.866,6.336
21.5,3.966,6.436
22,4.066,6.536
22.5,4.166,6.636
23,4.266,6.736
23.5,4.366,6.836
24,4.466,6.936
24.5,4.566,7.036
25,4.666,7.136
25.5,4.766,7.236
26,4.866,7.336
26.5,4.966,7.436
27,5.066,7.536
27.5,5.166,7.636
28,5.266,7.736
28.5,5.366,7.836
29,5.466,7.936
29.5,5.566,8.036
30,5.666,8.136
30.5,5.766,8.236
31,5.866,8.336
31.5,5.966,8.436
32,6.066,8.536
32.5,6.166,8.636
33,6.266,8.736
33.5,6.366,8.836
34,6.466,8.936
34.5,6.566,9.036
35,6.666,9.136
35.5,6.766,9.236
36,6.866,9.336
36.5,6.966,9.436
37,7.066,9.536
37.5,7.166,9.636
38,7.266,9.736
38.5,7.366,9.836
39,7.466,9.936
39.5,7.566,10.036
40,7.666,10.136
40.5,7.766,10.236
41,7.866,10.336
41.5,7.966,10.436
42,8.066,10.536
42.5,8.166,10.636
43,8.266,10.736
43.5,8.366,10.836
44,8.466,10.936
44.5,8.566,11.036
45,8.666,11.136
45.5,8.766,11.236
46,8.866,11.336
46.5,8.966,11.436
47,9.066,11.536
47.5,9.166,11.636
48,9.266,11.736
48.5,9.366,11.836
49,9.466,11.936
49.5,9.566,12.036
50,9.666,12.136
50.5,9.766,12.236
51,9.866,12.336
51.5,9.966,12.436
52,10.066,12.536
52.5,10.166,12.636
53,10.266,12.736
53.5,10.366,12.836
54,10.466,12.936
54.5,10.566,13.036
55,10.666,13.136
55.5,10.766,13.236
56,10.866,13.336
56.5,10.966,13.436
57,11.066,13.536
57.5,11.166,13.636
58,11.266,13.736
58.5,11.366,13.836
59,11.466,13.936
59.5,11.566,14.036
60,11.666,14.136
