"meal_price","p_saving_pos","median_saving","model"
0,0.997375,0.298441827871003,"primary_model"
0.25,0.997,0.289556588463741,"primary_model"
0.5,0.99625,0.280671349056479,"primary_model"
0.75,0.9955,0.271786109649218,"primary_model"
1,0.99475,0.262900870241956,"primary_model"
1.25,0.994125,0.254015630834695,"primary_model"
1.5,0.9935,0.245130391427433,"primary_model"
1.75,0.99275,0.236245152020171,"primary_model"
2,0.991875,0.22735991261291,"primary_model"
2.25,0.99025,0.218474673205648,"primary_model"
2.5,0.989,0.209589433798386,"primary_model"
2.75,0.987375,0.200704194391124,"primary_model"
3,0.985625,0.191818954983863,"primary_model"
3.25,0.982625,0.182933715576601,"primary_model"
3.5,0.980875,0.174048476169339,"primary_model"
3.75,0.97775,0.165163236762078,"primary_model"
4,0.971875,0.156277997354816,"primary_model"
4.25,0.965625,0.147392757947554,"primary_model"
4.5,0.956875,0.138507518540293,"primary_model"
4.75,0.94675,0.129622279133031,"primary_model"
5,0.936375,0.120737039725769,"primary_model"
5.25,0.921625,0.111851800318508,"primary_model"
5.5,0.908,0.102966560911246,"primary_model"
5.75,0.89175,0.0940813215039844,"primary_model"
6,0.871,0.0851960820967226,"primary_model"
6.25,0.844125,0.076310842689461,"primary_model"
6.5,0.819375,0.0674256032821992,"primary_model"
6.75,0.788375,0.0585403638749373,"primary_model"
7,0.75425,0.0496551244676757,"primary_model"
7.25,0.715375,0.0407698850604141,"primary_model"
7.5,0.67175,0.0318846456531525,"primary_model"
7.75,0.624625,0.0229994062458909,"primary_model"
8,0.579,0.0141141668386291,"primary_model"
8.25,0.526625,0.00522892743136749,"primary_model"
8.5,0.476875,-0.00365631197589411,"primary_model"
8.75,0.4265,-0.0125415513831559,"primary_model"
9,0.377625,-0.0214267907904178,"primary_model"
9.25,0.337,-0.0303120301976794,"primary_model"
9.5,0.293,-0.039197269604941,"primary_model"
9.75,0.252125,-0.0480825090122026,"primary_model"
10,0.21675,-0.0569677484194646,"primary_model"
10.25,0.183625,-0.065852987826726,"primary_model"
10.5,0.158375,-0.0747382272339878,"primary_model"
10.75,0.132,-0.0836234666412492,"primary_model"
11,0.11175,-0.0925087060485112,"primary_model"
11.25,0.0945,-0.101393945455773,"primary_model"
11.5,0.08,-0.110279184863034,"primary_model"
11.75,0.0665,-0.119164424270296,"primary_model"
12,0.0555,-0.128049663677558,"primary_model"
12.25,0.04675,-0.13693490308482,"primary_model"
12.5,0.039125,-0.145820142492081,"primary_model"
12.75,0.031875,-0.154705381899343,"primary_model"
13,0.025625,-0.163590621306605,"primary_model"
13.25,0.02075,-0.172475860713866,"primary_model"
13.5,0.017375,-0.181361100121128,"primary_model"
13.75,0.014,-0.19024633952839,"primary_model"
14,0.011375,-0.199131578935651,"primary_model"
14.25,0.009125,-0.208016818342913,"primary_model"
14.5,0.007625,-0.216902057750175,"primary_model"
14.75,0.006,-0.225787297157436,"primary_model"
15,0.005125,-0.234672536564698,"primary_model"
15.25,0.004375,-0.24355777597196,"primary_model"
15.5,0.003625,-0.252443015379221,"primary_model"
15.75,0.003375,-0.261328254786483,"primary_model"
16,0.00275,-0.270213494193745,"primary_model"
16.25,0.002625,-0.279098733601006,"primary_model"
16.5,0.002375,-0.287983973008268,"primary_model"
16.75,0.002125,-0.29686921241553,"primary_model"
17,0.00175,-0.305754451822791,"primary_model"
17.25,0.001625,-0.314639691230053,"primary_model"
17.5,0.001375,-0.323524930637315,"primary_model"
17.75,0.001125,-0.332410170044577,"primary_model"
18,0.001,-0.341295409451838,"primary_model"
18.25,0.000875,-0.3501806488591,"primary_model"
18.5,0.000625,-0.359065888266362,"primary_model"
18.75,0.000625,-0.367951127673623,"primary_model"
19,5e-04,-0.376836367080885,"primary_model"
19.25,0.000375,-0.385721606488147,"primary_model"
19.5,0.000375,-0.394606845895408,"primary_model"
19.75,0.00025,-0.40349208530267,"primary_model"
20,0.00025,-0.412377324709932,"primary_model"
