"meal_price","meal","diet_premium","diet_cost"
0,"ulva",-0.334000000000001,2.136
0.5,"ulva",-0.234000000000001,2.236
1,"ulva",-0.134000000000001,2.336
1.5,"ulva",-0.0340000000000005,2.436
2,"ulva",0.0659999999999995,2.536
2.5,"ulva",0.165999999999999,2.636
3,"ulva",0.266,2.736
3.5,"ulva",0.365999999999999,2.836
4,"ulva",0.466,2.936
4.5,"ulva",0.566,3.036
5,"ulva",0.665999999999999,3.136
5.5,"ulva",0.766,3.236
6,"ulva",0.866,3.336
6.5,"ulva",0.966,3.436
7,"ulva",1.066,3.536
7.5,"ulva",1.166,3.636
8,"ulva",1.266,3.736
8.5,"ulva",1.366,3.836
9,"ulva",1.466,3.936
9.5,"ulva",1.566,4.036
10,"ulva",1.666,4.136
10.5,"ulva",1.766,4.236
11,"ulva",1.866,4.336
11.5,"ulva",1.966,4.436
12,"ulva",2.066,4.536
12.5,"ulva",2.166,4.636
13,"ulva",2.266,4.736
13.5,"ulva",2.366,4.836
14,"ulva",2.466,4.936
14.5,"ulva",2.566,5.036
15,"ulva",2.666,5.136
15.5,"ulva",2.766,5.236
16,"ulva",2.866,5.336
16.5,"ulva",2.966,5.436
17,"ulva",3.066,5.536
17.5,"ulva",3.166,5.636
18,"ulva",3.266,5.736
18.5,"ulva",3.366,5.836
19,"ulva",3.466,5.936
19.5,"ulva",3.566,6.036
20,"ulva",3.666,6.136
0,"wakame",-0.326,2.144
0.5,"wakame",-0.226,2.244
1,"wakame",-0.126,2.344
1.5,"wakame",-0.026,2.444
2,"wakame",0.074,2.544
2.5,"wakame",0.174,2.644
3,"wakame",0.274,2.744
3.5,"wakame",0.374,2.844
4,"wakame",0.474,2.944
4.5,"wakame",0.574,3.044
5,"wakame",0.674,3.144
5.5,"wakame",0.774,3.244
6,"wakame",0.874,3.344
6.5,"wakame",0.974,3.444
7,"wakame",1.074,3.544
7.5,"wakame",1.174,3.644
8,"wakame",1.274,3.744
8.5,"wakame",1.374,3.844
9,"wakame",1.474,3.944
9.5,"wakame",1.574,4.044
10,"wakame",1.674,4.144
10.5,"wakame",1.774,4.244
11,"wakame",1.874,4.344
11.5,"wakame",1.974,4.444
12,"wakame",2.074,4.544
12.5,"wakame",2.174,4.644
13,"wakame",2.274,4.744
13.5,"wakame",2.374,4.844
14,"wakame",2.474,4.944
14.5,"wakame",2.574,5.044
15,"wakame",2.674,5.144
15.5,"wakame",2.774,5.244
16,"wakame",2.874,5.344
16.5,"wakame",2.974,5.444
17,"wakame",3.074,5.544
17.5,"wakame",3.174,5.644
18,"wakame",3.274,5.744
18.5,"wakame",3.374,5.844
19,"wakame",3.474,5.944
19.5,"wakame",3.574,6.044
20,"wakame",3.674,6.144
